term,subject,course,section,title,capacity,dow,start,end,room,instructor
202401,COMP,1103,001,Introduction to Computers,50,Tuesday,08:30,09:50,W316,Alan Fedoruk
202401,COMP,1103,001,Introduction to Computers,50,Thursday,08:30,09:50,W316,Alan Fedoruk
202401,COMP,1103,002,Introduction to Computers,50,Monday,04:00,05:20,W316,TBA
202401,COMP,1103,002,Introduction to Computers,50,Wednesday,04:00,05:20,W316,TBA
202401,COMP,1103,003,Introduction to Computers,50,Monday,04:00,05:20,W322,TBA
202401,COMP,1103,003,Introduction to Computers,50,Wednesday,04:00,05:20,W322,TBA
202401,COMP,1103,501,Introduction to Computers,25,Wednesday,09:00,09:50,E203,Alan Fedoruk
202401,COMP,1103,502,Introduction to Computers,25,Monday,09:00,09:50,B162,Alan Fedoruk
202401,COMP,1103,503,Introduction to Computers,25,Friday,12:30,01:20,E203,TBA
202401,COMP,1103,504,Introduction to Computers,25,Thursday,04:30,05:20,E203,TBA
202401,COMP,1103,505,Introduction to Computers,25,Thursday,03:30,04:20,E203,TBA
202401,COMP,1103,506,Introduction to Computers,25,Tuesday,03:30,04:20,E203,TBA
202401,COMP,1502,001,Programming II: Object Oriented Programming,40,Monday,11:30,12:50,T235,Khosro Salmani
202401,COMP,1502,001,Programming II: Object Oriented Programming,40,Wednesday,11:30,12:50,T235,Khosro Salmani
202401,COMP,1502,002,Programming II: Object Oriented Programming,40,Tuesday,11:30,12:50,EB1006,Eric Chalmers
202401,COMP,1502,002,Programming II: Object Oriented Programming,40,Thursday,11:30,12:50,EB1006,Eric Chalmers
202401,COMP,1502,003,Programming II: Object Oriented Programming,40,Monday,10:00,11:20,T133,TBA
202401,COMP,1502,003,Programming II: Object Oriented Programming,40,Wednesday,10:00,11:20,T133,TBA
202401,COMP,1502,401,Programming II: Object Oriented Programming,20,Tuesday,10:00,10:50,B107,Khosro Salmani
202401,COMP,1502,402,Programming II: Object Oriented Programming,20,Tuesday,11:00,11:50,B107,Khosro Salmani
202401,COMP,1502,403,Programming II: Object Oriented Programming,20,Thursday,02:00,02:50,B107,Eric Chalmers
202401,COMP,1502,404,Programming II: Object Oriented Programming,20,Thursday,03:00,03:50,B107,Eric Chalmers
202401,COMP,1502,405,Programming II: Object Oriented Programming,20,Tuesday,12:00,12:50,B107,TBA
202401,COMP,1502,406,Programming II: Object Oriented Programming,20,Tuesday,01:00,01:50,B107,TBA
202401,COMP,1502,501,Programming II: Object Oriented Programming,20,Thursday,10:00,10:50,B107,Khosro Salmani
202401,COMP,1502,502,Programming II: Object Oriented Programming,20,Thursday,11:00,11:50,B107,Khosro Salmani
202401,COMP,1502,503,Programming II: Object Oriented Programming,20,Friday,12:00,12:50,B107,Eric Chalmers
