term,subject,course,section,title,capacity,dow,start,end,room,instructor
202304,COMP,1103,001,Introduction to Computers,50,Wednesday,13:00,14:20,W322,TBA
202304,COMP,1103,001,Introduction to Computers,50,Friday,13:00,14:20,W322,TBA
202304,COMP,1103,002,Introduction to Computers,50,Tuesday,10:00,11:20,O226,TBA
202304,COMP,1103,002,Introduction to Computers,50,Thursday,10:00,11:20,O226,TBA
202304,COMP,1103,003,Introduction to Computers,50,Wednesday,08:30,09:50,O226,TBA
202304,COMP,1103,003,Introduction to Computers,50,Friday,08:30,09:50,O226,TBA
202304,COMP,1103,501,Introduction to Computers,25,Wednesday,14:30,15:20,E203,TBA
202304,COMP,1103,502,Introduction to Computers,25,Wednesday,15:30,16:20,E203,TBA
202304,COMP,1103,503,Introduction to Computers,25,Wednesday,09:00,09:50,B162,TBA
202304,COMP,1103,504,Introduction to Computers,25,Wednesday,10:00,10:50,B162,TBA
202304,COMP,1103,505,Introduction to Computers,25,Friday,11:30,12:20,B162,TBA
202304,COMP,1103,506,Introduction to Computers,25,Friday,12:30,13:20,B162,TBA
202304,COMP,1207,001,Introduction to Digital Technologies,35,Monday,11:30,12:50,E203,TBA
202304,COMP,1207,001,Introduction to Digital Technologies,35,Wednesday,11:30,12:50,E203,TBA
202304,COMP,1502,001,Programming II: Object Oriented Programming,30,Tuesday,14:30,15:50,B231,TBA
202304,COMP,1502,001,Programming II: Object Oriented Programming,30,Thursday,14:30,15:50,B231,TBA
202304,COMP,1502,401,Programming II: Object Oriented Programming,30,Tuesday,16:00,16:50,B162,TBA
202304,COMP,1502,501,Programming II: Object Oriented Programming,30,Thursday,16:00,16:50,B162,TBA
202304,COMP,1633,001,Introduction to Computer Science II,40,Tuesday,14:30,15:50,EC1055,TBA
202304,COMP,1633,001,Introduction to Computer Science II,40,Thursday,14:30,15:50,EC1055,TBA
202304,COMP,1633,401,Introduction to Computer Science II,20,Monday,13:00,13:50,B107,TBA
202304,COMP,1633,401,Introduction to Computer Science II,20,Wednesday,13:00,13:50,B107,TBA
202304,COMP,1633,402,Introduction to Computer Science II,20,Monday,12:00,12:50,B107,TBA
202304,COMP,1633,402,Introduction to Computer Science II,20,Wednesday,12:00,12:50,B107,TBA
202304,COMP,1701,001,Introduction to Problem Solving and Programming,40,Monday,11:30,12:50,E204,Charlotte Curtis
202304,COMP,1701,001,Introduction to Problem Solving and Programming,40,Wednesday,11:30,12:50,E204,Charlotte Curtis
202304,COMP,1701,002,Introduction to Problem Solving and Programming,40,Monday,10:00,11:20,EC1055,Eric Chalmers
202304,COMP,1701,002,Introduction to Problem Solving and Programming,40,Wednesday,10:00,11:20,EC1055,Eric Chalmers
202304,COMP,1701,003,Introduction to Problem Solving and Programming,40,Monday,10:00,11:20,E204,Alan Fedoruk
202304,COMP,1701,003,Introduction to Problem Solving and Programming,40,Wednesday,10:00,11:20,E204,Alan Fedoruk
202304,COMP,1701,004,Introduction to Problem Solving and Programming,40,Monday,08:30,09:50,E204,TBA
202304,COMP,1701,004,Introduction to Problem Solving and Programming,40,Wednesday,08:30,09:50,E204,TBA
