term,subject,course,section,title,capacity,dow,start,end,room,instructor
202304,COMP,1103,001,Introduction to Computers,50,Wednesday,01:00,02:20,W322,TBA
202304,COMP,1103,001,Introduction to Computers,50,Friday,01:00,02:20,W322,TBA
202304,COMP,1103,002,Introduction to Computers,50,Tuesday,10:00,11:20,O226,TBA
202304,COMP,1103,002,Introduction to Computers,50,Thursday,10:00,11:20,O226,TBA
202304,COMP,1103,003,Introduction to Computers,50,Wednesday,08:30,09:50,O226,TBA
202304,COMP,1103,003,Introduction to Computers,50,Friday,08:30,09:50,O226,TBA
202304,COMP,1103,501,Introduction to Computers,25,Wednesday,02:30,03:20,E203,TBA
202304,COMP,1103,502,Introduction to Computers,25,Wednesday,03:30,04:20,E203,TBA
202304,COMP,1103,503,Introduction to Computers,25,Wednesday,09:00,09:50,B162,TBA
202304,COMP,1103,504,Introduction to Computers,25,Wednesday,10:00,10:50,B162,TBA
202304,COMP,1103,505,Introduction to Computers,25,Friday,11:30,12:20,B162,TBA
202304,COMP,1103,506,Introduction to Computers,25,Friday,12:30,01:20,B162,TBA
202304,COMP,1207,001,Introduction to Digital Technologies,35,Monday,11:30,12:50,E203,TBA
202304,COMP,1207,001,Introduction to Digital Technologies,35,Wednesday,11:30,12:50,E203,TBA
202304,COMP,1502,001,Programming II: Object Oriented Programming,30,Tuesday,02:30,03:50,B231,TBA
202304,COMP,1502,001,Programming II: Object Oriented Programming,30,Thursday,02:30,03:50,B231,TBA
202304,COMP,1502,401,Programming II: Object Oriented Programming,30,Tuesday,04:00,04:50,B162,TBA
202304,COMP,1502,501,Programming II: Object Oriented Programming,30,Thursday,04:00,04:50,B162,TBA
202304,COMP,1633,001,Introduction to Computer Science II,40,Tuesday,02:30,03:50,EC1055,TBA
202304,COMP,1633,001,Introduction to Computer Science II,40,Thursday,02:30,03:50,EC1055,TBA
202304,COMP,1633,401,Introduction to Computer Science II,20,Monday,01:00,01:50,B107,TBA
202304,COMP,1633,401,Introduction to Computer Science II,20,Wednesday,01:00,01:50,B107,TBA
202304,COMP,1633,402,Introduction to Computer Science II,20,Monday,12:00,12:50,B107,TBA
202304,COMP,1633,402,Introduction to Computer Science II,20,Wednesday,12:00,12:50,B107,TBA
202304,COMP,1701,001,Introduction to Problem Solving and Programming,40,Monday,11:30,12:50,E204,Charlotte Curtis
202304,COMP,1701,001,Introduction to Problem Solving and Programming,40,Wednesday,11:30,12:50,E204,Charlotte Curtis
202304,COMP,1701,002,Introduction to Problem Solving and Programming,40,Monday,10:00,11:20,EC1055,Eric Chalmers
202304,COMP,1701,002,Introduction to Problem Solving and Programming,40,Wednesday,10:00,11:20,EC1055,Eric Chalmers
202304,COMP,1701,003,Introduction to Problem Solving and Programming,40,Monday,10:00,11:20,E204,Alan Fedoruk
202304,COMP,1701,003,Introduction to Problem Solving and Programming,40,Wednesday,10:00,11:20,E204,Alan Fedoruk
202304,COMP,1701,004,Introduction to Problem Solving and Programming,40,Monday,08:30,09:50,E204,TBA
202304,COMP,1701,004,Introduction to Problem Solving and Programming,40,Wednesday,08:30,09:50,E204,TBA
202304,COMP,1701,005,Introduction to Problem Solving and Programming,40,Monday,11:30,12:50,EC1150,TBA
202304,COMP,1701,005,Introduction to Problem Solving and Programming,40,Wednesday,11:30,12:50,EC1150,TBA
202304,COMP,1701,006,Introduction to Problem Solving and Programming,40,Monday,10:00,11:20,EC1150,TBA
202304,COMP,1701,006,Introduction to Problem Solving and Programming,40,Wednesday,10:00,11:20,EC1150,TBA
202304,COMP,1701,401,Introduction to Problem Solving and Programming,20,Tuesday,10:30,11:20,B107,Charlotte Curtis
202304,COMP,1701,402,Introduction to Problem Solving and Programming,20,Tuesday,11:30,12:20,B107,Charlotte Curtis
202304,COMP,1701,403,Introduction to Problem Solving and Programming,20,Tuesday,09:30,10:20,B107,Eric Chalmers
202304,COMP,1701,404,Introduction to Problem Solving and Programming,20,Tuesday,08:30,09:20,B107,Eric Chalmers
202304,COMP,1701,405,Introduction to Problem Solving and Programming,20,Tuesday,12:30,01:20,B107,Alan Fedoruk
202304,COMP,1701,406,Introduction to Problem Solving and Programming,20,Tuesday,01:30,02:20,B107,Alan Fedoruk
202304,COMP,1701,407,Introduction to Problem Solving and Programming,20,Tuesday,03:30,04:20,B107,TBA
202304,COMP,1701,408,Introduction to Problem Solving and Programming,20,Tuesday,02:30,03:20,B107,TBA
202304,COMP,1701,409,Introduction to Problem Solving and Programming,20,Tuesday,05:30,06:20,B107,TBA
202304,COMP,1701,410,Introduction to Problem Solving and Programming,20,Tuesday,04:30,05:20,B107,TBA
202304,COMP,1701,411,Introduction to Problem Solving and Programming,20,Tuesday,09:30,10:20,B162,TBA
202304,COMP,1701,412,Introduction to Problem Solving and Programming,20,Tuesday,10:30,11:20,B162,TBA
202304,COMP,1701,501,Introduction to Problem Solving and Programming,20,Thursday,10:30,11:20,B107,Charlotte Curtis
202304,COMP,1701,502,Introduction to Problem Solving and Programming,20,Thursday,11:30,12:20,B107,Charlotte Curtis
202304,COMP,1701,503,Introduction to Problem Solving and Programming,20,Thursday,09:30,10:20,B107,Eric Chalmers
202304,COMP,1701,504,Introduction to Problem Solving and Programming,20,Thursday,08:30,09:20,B107,Eric Chalmers
202304,COMP,1701,505,Introduction to Problem Solving and Programming,20,Thursday,12:30,01:20,B107,Alan Fedoruk
202304,COMP,1701,506,Introduction to Problem Solving and Programming,20,Thursday,01:30,02:20,B107,Alan Fedoruk
202304,COMP,1701,507,Introduction to Problem Solving and Programming,20,Thursday,03:30,04:20,B107,TBA
202304,COMP,1701,508,Introduction to Problem Solving and Programming,20,Thursday,02:30,03:20,B107,TBA
202304,COMP,1701,509,Introduction to Problem Solving and Programming,20,Thursday,05:30,06:20,B107,TBA
202304,COMP,1701,510,Introduction to Problem Solving and Programming,20,Thursday,04:30,05:20,B107,TBA
202304,COMP,1701,511,Introduction to Problem Solving and Programming,20,Thursday,09:30,10:20,B162,TBA
202304,COMP,1701,512,Introduction to Problem Solving and Programming,20,Thursday,10:30,11:20,B162,TBA
202304,COMP,2001,001,Computer-Based Problem Solving for the Sciences,50,Monday,08:30,09:50,EA2031,Patrick Perri
202304,COMP,2001,001,Computer-Based Problem Solving for the Sciences,50,Wednesday,08:30,09:50,EA2031,Patrick Perri
202304,COMP,2001,002,Computer-Based Problem Solving for the Sciences,50,Monday,10:00,11:20,EA1024,Michael Uzoka
202304,COMP,2001,002,Computer-Based Problem Solving for the Sciences,50,Wednesday,10:00,11:20,EA1024,Michael Uzoka
202304,COMP,2001,401,Computer-Based Problem Solving for the Sciences,25,Tuesday,02:00,02:50,B162,Patrick Perri
202304,COMP,2001,401,Computer-Based Problem Solving for the Sciences,25,Thursday,02:00,02:50,B162,Patrick Perri
202304,COMP,2001,402,Computer-Based Problem Solving for the Sciences,25,Tuesday,01:00,01:50,B162,Patrick Perri
202304,COMP,2001,402,Computer-Based Problem Solving for the Sciences,25,Thursday,01:00,01:50,B162,Patrick Perri
202304,COMP,2001,403,Computer-Based Problem Solving for the Sciences,25,Monday,12:30,01:20,B162,Michael Uzoka
202304,COMP,2001,403,Computer-Based Problem Solving for the Sciences,25,Wednesday,12:30,01:20,B162,Michael Uzoka
202304,COMP,2001,404,Computer-Based Problem Solving for the Sciences,25,Monday,01:30,02:20,B162,Michael Uzoka
202304,COMP,2001,404,Computer-Based Problem Solving for the Sciences,25,Wednesday,01:30,02:20,B162,Michael Uzoka
202304,COMP,2008,001,Scientific Computing I: Modeling and Simulation,48,Tuesday,08:30,09:50,EA1051,Patrick Perri
202304,COMP,2008,001,Scientific Computing I: Modeling and Simulation,48,Thursday,08:30,09:50,EA1051,Patrick Perri
202304,COMP,2008,401,Scientific Computing I: Modeling and Simulation,24,Friday,08:30,09:20,E203,Patrick Perri
202304,COMP,2008,402,Scientific Computing I: Modeling and Simulation,24,Friday,09:30,10:20,E203,Patrick Perri
202304,COMP,2503,001,Programming III: Data Structures,40,Wednesday,11:30,12:50,B222,Maryam Elahi
202304,COMP,2503,001,Programming III: Data Structures,40,Friday,11:30,12:50,B222,Maryam Elahi
202304,COMP,2503,002,Programming III: Data Structures,40,Monday,04:00,05:20,EC1065,TBA
202304,COMP,2503,002,Programming III: Data Structures,40,Wednesday,04:00,05:20,EC1065,TBA
202304,COMP,2503,401,Programming III: Data Structures,20,Tuesday,11:00,11:50,E203,Maryam Elahi
202304,COMP,2503,402,Programming III: Data Structures,20,Tuesday,12:00,12:50,E203,Maryam Elahi
202304,COMP,2503,403,Programming III: Data Structures,20,Thursday,02:30,03:20,E203,TBA
202304,COMP,2503,404,Programming III: Data Structures,20,Thursday,03:30,04:20,E203,TBA
202304,COMP,2511,001,Web I: Client Development,40,Tuesday,10:00,11:20,B220,TBA
202304,COMP,2511,001,Web I: Client Development,40,Thursday,10:00,11:20,B220,TBA
202304,COMP,2511,501,Web I: Client Development,20,Wednesday,10:00,10:50,B107,TBA
202304,COMP,2511,502,Web I: Client Development,20,Wednesday,11:00,11:50,B107,TBA
202304,COMP,2521,001,Database I: Data Modeling and Query Languages,40,Tuesday,01:00,02:20,E204,TBA
202304,COMP,2521,001,Database I: Data Modeling and Query Languages,40,Thursday,01:00,02:20,E204,TBA
