term,subject,course,section,title,capacity,dow,start,end,room,instructor
202104,COMP,1103,001,Introduction to Computers,50,Tuesday,08:30,09:50,None,Jim Davis
202104,COMP,1103,001,Introduction to Computers,50,Thursday,08:30,09:50,None,Jim Davis
202104,COMP,1103,002,Introduction to Computers,50,Monday,10:00,11:20,None,Jim Davis
202104,COMP,1103,002,Introduction to Computers,50,Wednesday,10:00,11:20,None,Jim Davis
202104,COMP,1103,003,Introduction to Computers,50,Tuesday,10:00,11:20,None,Patrick Perri
202104,COMP,1103,003,Introduction to Computers,50,Thursday,10:00,11:20,None,Patrick Perri
202104,COMP,1103,501,Introduction to Computers,25,Thursday,10:00,10:50,None,Jim Davis
202104,COMP,1103,502,Introduction to Computers,25,Thursday,11:00,11:50,None,Jim Davis
202104,COMP,1103,503,Introduction to Computers,25,Friday,12:30,01:20,None,Jim Davis
202104,COMP,1103,504,Introduction to Computers,25,Friday,01:30,02:20,None,Jim Davis
202104,COMP,1103,505,Introduction to Computers,25,Tuesday,11:30,12:20,None,Patrick Perri
202104,COMP,1103,506,Introduction to Computers,25,Tuesday,12:30,01:20,None,Patrick Perri
202104,COMP,1207,001,Intro. to Digital Technologies,35,Monday,10:00,11:20,E203,Patrick Perri
202104,COMP,1207,001,Intro. to Digital Technologies,35,Wednesday,10:00,11:20,E203,Patrick Perri
202104,COMP,1501,001,Programming I,60,Monday,01:00,02:20,Q306,Charlotte Curtis
202104,COMP,1501,001,Programming I,60,Wednesday,01:00,02:20,Q306,Charlotte Curtis
202104,COMP,1501,002,Programming I,60,Monday,10:00,11:20,None,Mahsa Amini Tareh
202104,COMP,1501,002,Programming I,60,Wednesday,10:00,11:20,None,Mahsa Amini Tareh
202104,COMP,1501,401,Programming I,20,Thursday,02:00,02:50,B107,Charlotte Curtis
202104,COMP,1501,402,Programming I,20,Thursday,03:00,03:50,B107,Charlotte Curtis
202104,COMP,1501,403,Programming I,20,Thursday,04:00,04:50,B107,Charlotte Curtis
202104,COMP,1501,404,Programming I,20,Thursday,11:00,11:50,None,Mahsa Amini Tareh
202104,COMP,1501,405,Programming I,20,Thursday,12:00,12:50,None,Mahsa Amini Tareh
202104,COMP,1501,406,Programming I,20,Thursday,09:30,10:20,None,Mahsa Amini Tareh
202104,COMP,1501,501,Programming I,20,Tuesday,11:00,11:50,B107,Charlotte Curtis
202104,COMP,1501,502,Programming I,20,Tuesday,12:00,12:50,B107,Charlotte Curtis
202104,COMP,1501,503,Programming I,20,Tuesday,01:00,01:50,B107,Charlotte Curtis
202104,COMP,1501,504,Programming I,20,Tuesday,08:30,09:20,None,Mahsa Amini Tareh
202104,COMP,1501,505,Programming I,20,Tuesday,09:30,10:20,None,Mahsa Amini Tareh
202104,COMP,1501,506,Programming I,20,Tuesday,11:00,11:50,None,Mahsa Amini Tareh
202104,COMP,1502,001,ProgrammingII Object Oriented,30,Wednesday,02:30,03:50,EA2062,Munima Jahan
202104,COMP,1502,001,ProgrammingII Object Oriented,30,Friday,02:30,03:50,EA2062,Munima Jahan
202104,COMP,1502,401,ProgrammingII Object Oriented,30,Wednesday,04:00,04:50,B162,Munima Jahan
202104,COMP,1502,501,ProgrammingII Object Oriented,30,Friday,04:00,04:50,B162,Munima Jahan
202104,COMP,1615,001,Introduction to Programming,35,Monday,02:30,03:50,None,Jim Davis
202104,COMP,1615,001,Introduction to Programming,35,Wednesday,02:30,03:50,None,Jim Davis
202104,COMP,1615,401,Introduction to Programming,35,Monday,04:00,04:50,None,Jim Davis
202104,COMP,1631,001,Intro Computer Science I,36,Monday,01:30,02:20,B220,Paul Pospisil
202104,COMP,1631,001,Intro Computer Science I,36,Tuesday,01:30,02:20,B220,Paul Pospisil
