term,subject,course,section,title,capacity,dow,start,end,room,instructor
202101,COMP,1103,001,Introduction to Computers,50,Wednesday,10:00,11:20,None,Mahsa Amini Tareh
202101,COMP,1103,001,Introduction to Computers,50,Friday,10:00,11:20,None,Mahsa Amini Tareh
202101,COMP,1103,002,Introduction to Computers,50,Monday,13:00,14:20,None,Jim Davis
202101,COMP,1103,002,Introduction to Computers,50,Wednesday,13:00,14:20,None,Jim Davis
202101,COMP,1103,003,Introduction to Computers,50,Monday,11:30,12:50,None,Patrick Perri
202101,COMP,1103,003,Introduction to Computers,50,Wednesday,11:30,12:50,None,Patrick Perri
202101,COMP,1103,501,Introduction to Computers,25,Tuesday,15:30,16:20,None,Mahsa Amini Tareh
202101,COMP,1103,502,Introduction to Computers,25,Tuesday,14:30,15:20,None,Mahsa Amini Tareh
202101,COMP,1103,503,Introduction to Computers,25,Tuesday,12:30,13:20,None,Jim Davis
202101,COMP,1103,504,Introduction to Computers,25,Tuesday,13:30,14:20,None,Jim Davis
202101,COMP,1103,505,Introduction to Computers,25,Thursday,08:30,09:20,None,Patrick Perri
202101,COMP,1103,506,Introduction to Computers,25,Thursday,09:30,10:20,None,Patrick Perri
202101,COMP,1501,001,Programming I,20,Monday,14:30,15:50,None,Mahsa Amini Tareh
202101,COMP,1501,001,Programming I,20,Wednesday,14:30,15:50,None,Mahsa Amini Tareh
202101,COMP,1501,101,Programming I,20,Monday,14:30,15:50,None,Mahsa Amini Tareh
202101,COMP,1501,101,Programming I,20,Wednesday,14:30,15:50,None,Mahsa Amini Tareh
202101,COMP,1501,401,Programming I,20,Tuesday,12:00,12:50,None,Mahsa Amini Tareh
202101,COMP,1501,402,Programming I,20,Tuesday,13:00,13:50,None,Mahsa Amini Tareh
202101,COMP,1501,501,Programming I,20,Friday,13:00,13:50,None,Mahsa Amini Tareh
202101,COMP,1501,502,Programming I,20,Friday,14:00,14:50,None,Mahsa Amini Tareh
202101,COMP,1502,001,ProgrammingII Object Oriented,40,Monday,14:30,15:50,None,Khosro Salmani
202101,COMP,1502,002,ProgrammingII Object Oriented,60,Monday,10:00,11:20,None,Munima Jahan
202101,COMP,1502,002,ProgrammingII Object Oriented,60,Wednesday,10:00,11:20,None,Munima Jahan
202101,COMP,1502,401,ProgrammingII Object Oriented,20,Tuesday,10:00,10:50,None,Khosro Salmani
202101,COMP,1502,402,ProgrammingII Object Oriented,20,Tuesday,11:00,11:50,None,Khosro Salmani
202101,COMP,1502,403,ProgrammingII Object Oriented,20,Thursday,12:00,12:50,None,Munima Jahan
202101,COMP,1502,404,ProgrammingII Object Oriented,20,Thursday,13:00,13:50,None,Munima Jahan
202101,COMP,1502,405,ProgrammingII Object Oriented,20,Thursday,14:00,14:50,None,Munima Jahan
202101,COMP,1502,501,ProgrammingII Object Oriented,20,Thursday,10:00,10:50,None,Khosro Salmani
202101,COMP,1502,502,ProgrammingII Object Oriented,20,Thursday,11:00,11:50,None,Khosro Salmani
202101,COMP,1502,503,ProgrammingII Object Oriented,20,Friday,10:00,10:50,None,Munima Jahan
202101,COMP,1502,504,ProgrammingII Object Oriented,20,Friday,11:00,11:50,None,Munima Jahan
202101,COMP,1502,505,ProgrammingII Object Oriented,20,Friday,12:00,12:50,None,Munima Jahan
202101,COMP,1615,001,Introduction to Programming,35,Monday,08:30,09:50,None,Jim Davis
202101,COMP,1615,001,Introduction to Programming,35,Wednesday,08:30,09:50,None,Jim Davis
202101,COMP,1615,401,Introduction to Programming,35,Monday,11:30,12:20,None,Jim Davis
202101,COMP,1633,001,Intro Computer Science II,60,Monday,12:00,12:50,None,Paul Pospisil
202101,COMP,1633,001,Intro Computer Science II,60,Tuesday,12:00,12:50,None,Paul Pospisil
202101,COMP,1633,001,Intro Computer Science II,60,Thursday,12:00,12:50,None,Paul Pospisil
202101,COMP,1633,401,Intro Computer Science II,20,Wednesday,12:00,12:50,None,Paul Pospisil
202101,COMP,1633,401,Intro Computer Science II,20,Friday,12:00,12:50,None,Paul Pospisil
202101,COMP,1633,402,Intro Computer Science II,20,Wednesday,11:00,11:50,None,Paul Pospisil
202101,COMP,1633,402,Intro Computer Science II,20,Friday,11:00,11:50,None,Paul Pospisil
202101,COMP,1633,403,Intro Computer Science II,20,Wednesday,10:00,10:50,None,Paul Pospisil
202101,COMP,1633,403,Intro Computer Science II,20,Friday,10:00,10:50,None,Paul Pospisil
202101,COMP,2001,001,Programming for the Sciences,50,Monday,10:30,11:20,None,Patrick Perri
202101,COMP,2001,001,Programming for the Sciences,50,Wednesday,10:30,11:20,None,Patrick Perri
202101,COMP,2001,001,Programming for the Sciences,50,Friday,10:30,11:20,None,Patrick Perri
202101,COMP,2001,401,Programming for the Sciences,25,Tuesday,10:30,11:20,None,Patrick Perri
202101,COMP,2001,401,Programming for the Sciences,25,Thursday,10:30,11:20,None,Patrick Perri
202101,COMP,2001,402,Programming for the Sciences,25,Tuesday,15:30,16:20,None,Patrick Perri
202101,COMP,2001,402,Programming for the Sciences,25,Thursday,15:30,16:20,None,Patrick Perri
202101,COMP,2008,001,Sci Comp I: Mod & Sim,40,Monday,13:00,14:20,None,Charles Hepler
202101,COMP,2008,001,Sci Comp I: Mod & Sim,40,Wednesday,13:00,14:20,None,Charles Hepler
202101,COMP,2008,401,Sci Comp I: Mod & Sim,20,Tuesday,16:30,17:20,None,Charles Hepler
202101,COMP,2008,402,Sci Comp I: Mod & Sim,20,Monday,16:30,17:20,None,Charles Hepler
202101,COMP,2503,001,Programming III:Data Structure,40,Wednesday,10:00,11:20,None,Jordan Pratt
202101,COMP,2503,001,Programming III:Data Structure,40,Friday,10:00,11:20,None,Jordan Pratt
202101,COMP,2503,401,Programming III:Data Structure,20,Thursday,12:30,13:20,None,Jordan Pratt
202101,COMP,2503,402,Programming III:Data Structure,20,Thursday,13:30,14:20,None,Jordan Pratt
202101,COMP,2511,001,Web I: Client Development,40,Tuesday,13:00,14:20,None,Yasaman Amannejad
202101,COMP,2511,001,Web I: Client Development,40,Thursday,13:00,14:20,None,Yasaman Amannejad
202101,COMP,2511,002,Web I: Client Development,60,Monday,13:00,14:20,None,Khosro Salmani
202101,COMP,2511,501,Web I: Client Development,20,Wednesday,10:00,10:50,None,Yasaman Amannejad
202101,COMP,2511,502,Web I: Client Development,20,Wednesday,11:00,11:50,None,Yasaman Amannejad
202101,COMP,2511,503,Web I: Client Development,20,Tuesday,14:00,14:50,None,Khosro Salmani
202101,COMP,2511,504,Web I: Client Development,20,Tuesday,15:00,15:50,None,Khosro Salmani
202101,COMP,2511,505,Web I: Client Development,20,Wednesday,12:00,12:50,None,Khosro Salmani
202101,COMP,2521,001,Database I: Modelling & Query,40,Monday,14:30,15:50,None,Shoba Ittyipe
202101,COMP,2521,001,Database I: Modelling & Query,40,Wednesday,14:30,15:50,None,Shoba Ittyipe
202101,COMP,2521,401,Database I: Modelling & Query,20,Tuesday,13:30,14:20,None,Shoba Ittyipe
202101,COMP,2521,402,Database I: Modelling & Query,20,Tuesday,14:30,15:20,None,Shoba Ittyipe
202101,COMP,2531,001,Architecture & OperatingSystem,60,Monday,11:30,12:50,None,Shoba Ittyipe
