term,subject,course,section,title,capacity,dow,start,end,room,instructor
202201,COMP,1103,001,Introduction to Computers,50,Monday,04:00,05:20,None,Jim Davis
202201,COMP,1103,001,Introduction to Computers,50,Wednesday,04:00,05:20,None,Jim Davis
202201,COMP,1103,002,Introduction to Computers,50,Monday,01:00,02:20,None,Jim Davis
202201,COMP,1103,002,Introduction to Computers,50,Wednesday,01:00,02:20,None,Jim Davis
202201,COMP,1103,003,Introduction to Computers,50,Monday,08:30,09:50,None,Jim Davis
202201,COMP,1103,003,Introduction to Computers,50,Wednesday,08:30,09:50,None,Jim Davis
202201,COMP,1103,501,Introduction to Computers,25,Tuesday,03:30,04:20,None,Jim Davis
202201,COMP,1103,502,Introduction to Computers,25,Tuesday,04:30,05:20,None,Jim Davis
202201,COMP,1103,503,Introduction to Computers,25,Wednesday,10:30,11:20,None,Jim Davis
202201,COMP,1103,504,Introduction to Computers,25,Wednesday,11:30,12:20,None,Jim Davis
202201,COMP,1103,505,Introduction to Computers,25,Tuesday,02:30,03:20,None,Jim Davis
202201,COMP,1103,506,Introduction to Computers,25,Tuesday,01:30,02:20,None,Jim Davis
202201,COMP,1501,001,Programming I,40,Tuesday,11:30,12:50,T137,Charlotte Curtis
202201,COMP,1501,001,Programming I,40,Thursday,11:30,12:50,T137,Charlotte Curtis
202201,COMP,1501,401,Programming I,20,Thursday,02:30,03:20,B107,Charlotte Curtis
202201,COMP,1501,402,Programming I,20,Thursday,01:30,02:20,B107,Charlotte Curtis
202201,COMP,1501,501,Programming I,20,Friday,03:00,03:50,B107,Charlotte Curtis
202201,COMP,1501,502,Programming I,20,Friday,02:00,02:50,B107,Charlotte Curtis
202201,COMP,1502,001,ProgrammingII Object Oriented,40,Monday,02:30,03:50,None,Munima Jahan
202201,COMP,1502,001,ProgrammingII Object Oriented,40,Wednesday,02:30,03:50,None,Munima Jahan
202201,COMP,1502,002,ProgrammingII Object Oriented,60,Monday,11:30,12:50,E133,Khosro Salmani
202201,COMP,1502,002,ProgrammingII Object Oriented,60,Wednesday,11:30,12:50,E133,Khosro Salmani
202201,COMP,1502,401,ProgrammingII Object Oriented,20,Wednesday,12:00,12:50,None,Munima Jahan
202201,COMP,1502,402,ProgrammingII Object Oriented,20,Wednesday,01:00,01:50,None,Munima Jahan
202201,COMP,1502,403,ProgrammingII Object Oriented,20,Tuesday,10:00,10:50,B107,Khosro Salmani
202201,COMP,1502,404,ProgrammingII Object Oriented,20,Tuesday,11:00,11:50,B107,Khosro Salmani
202201,COMP,1502,405,ProgrammingII Object Oriented,20,Tuesday,12:00,12:50,B107,Khosro Salmani
202201,COMP,1502,501,ProgrammingII Object Oriented,20,Friday,11:00,11:50,None,Munima Jahan
202201,COMP,1502,502,ProgrammingII Object Oriented,20,Friday,12:00,12:50,None,Munima Jahan
202201,COMP,1502,503,ProgrammingII Object Oriented,20,Wednesday,02:00,02:50,B107,Khosro Salmani
202201,COMP,1502,504,ProgrammingII Object Oriented,20,Wednesday,03:00,03:50,B107,Khosro Salmani
202201,COMP,1502,505,ProgrammingII Object Oriented,20,Wednesday,04:00,04:50,B107,Khosro Salmani
202201,COMP,1633,001,Intro Computer Science II,60,Monday,11:00,11:50,W231,Paul Pospisil
202201,COMP,1633,001,Intro Computer Science II,60,Wednesday,11:00,11:50,W231,Paul Pospisil
202201,COMP,1633,001,Intro Computer Science II,60,Friday,11:00,11:50,W231,Paul Pospisil
